id,name,description,price,currency,storeId,store
1,Foie Gras,In hac habitasse platea dictumst.,165,AUD,17,Browsebug
2,Cardamon Seed / Pod,Aenean lectus.,285,COP,27,Meetz
3,Uniform Linen Charge,Suspendisse accumsan tortor quis turpis. Sed ante.,162,BRL,46,Cogilith
4,Veal - Liver,Quisque porta volutpat erat.,182,EUR,97,Vitz
5,Butter Ripple - Phillips,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",44,IDR,50,Plajo
6,Cabbage - Savoy,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",211,CNY,15,Jamia
7,Soup - Campbells Chili Veg,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",161,IDR,34,Midel
8,Longos - Penne With Pesto,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,211,SEK,72,Jayo
9,Icecream - Dstk Super Cone,Proin interdum mauris non ligula pellentesque ultrices.,147,TZS,52,Oyope
10,Wine - Tribal Sauvignon,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",260,PLN,80,Photobug
11,"Juice - V8, Tomato",Suspendisse ornare consequat lectus.,233,PHP,91,Eazzy
12,Dooleys Toffee,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,281,USD,42,Fadeo
13,Crackers Cheez It,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,180,BRL,2,Jetwire
14,Sandwich Wrap,Aliquam non mauris.,171,BRL,67,Bluejam
15,Wine - Montecillo Rioja Crianza,Nulla nisl. Nunc nisl.,108,HRK,18,Tanoodle
16,"Juice - Orange, 341 Ml","Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",114,SEK,31,Skalith
17,Lettuce - Spring Mix,Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,181,ZAR,57,Babbleopia
18,Wine - Beringer Founders Estate,Vivamus tortor.,65,COP,72,Camido
19,Butter - Unsalted,In hac habitasse platea dictumst.,108,CNY,87,Dynabox
20,"Star Anise, Whole",Nulla ac enim.,270,CNY,42,Feedbug
21,Lemon Tarts,Donec ut dolor.,89,RUB,9,Linktype
