id,name,latitude,longitude
1,Dabfeed,9.8827617,124.3882585
2,Babbleblab,43.6121586,3.8626074
3,Feedfish,51.5574609,20.8640191
4,Flipstorm,45.1476503,5.7504953
5,Thoughtblab,49.8575338,18.1508117
6,Quaxo,43.5571062,19.0735581
7,Mudo,36.8100183,42.0629842
8,Vinder,40.3808163,23.9238045
9,Dabshots,8.959667,-73.626268
10,Wordify,-6.2956209,106.6173415
11,Dabjam,14.26528,-90.12694
12,Divape,51.227821,51.3865431
13,Kimia,-31.3961762,26.354462
14,Meezzy,12.2651512,-85.0778886
15,Yoveo,58.1348867,8.006095
16,Fliptune,-12.0971829,-77.032585
17,Yakidoo,34.319658,104.562412
18,Babblestorm,57.8308498,50.0688474
19,Blogpad,29.655143,121.406995
20,Gevee,39.1070379,-94.4928531
21,Devpoint,35.498159,106.330646
22,Skaboo,-5.75,-77.9
23,Quire,-25.3631459,-49.0801588
24,Browsetype,39.3960229,68.533658
25,Mymm,38.103168,114.045809
26,Rooxo,35.79045,118.627917
27,Ooba,24.979855,109.983076
28,Divape,-6.2382699,106.9755726
29,Vinder,-21.6733002,-49.7471388
30,InnoZ,47.880287,132.759724
31,Kwilith,29.713689,116.339882
32,Shufflester,-7.4443035,-35.148879
33,Topicstorm,40.7177351,-111.8985922
34,Chatterbridge,14.6316265,102.7594847
35,Quire,56.8221532,43.9638201
36,Dabshots,-8.6662,122.068
37,Skilith,25.797931,110.011238
38,Voonder,34.5594987,112.4678779
39,Shufflester,43.8558336,18.4098275
40,Meevee,18.4530602,-69.9474964
41,Quatz,15.1650908,120.5657329
42,Shufflester,-7.76929,114.2241895
43,Bluejam,14.573997,121.049071
44,Ooba,22.265811,113.543784
45,Pixope,15.8107755,-87.4133145
46,Skinder,58.4705978,41.5474702
47,Einti,-7.023104,108.2763069
48,Thoughtmix,49.4637092,8.560081
49,Ailane,32.7757,-96.5983607
50,Ntags,48.922709,2.3425328
51,Yoveo,28.505971,113.329871
52,Tazzy,30.081941,120.495065
53,Jaloo,-20.05913,48.13327
54,Browseblab,34.0624686,51.4782228
55,Trilith,39.7686256,-8.4696181
56,Photobug,-15.0705872,-57.1882847
57,Realpoint,28.153607,120.692025
58,Thoughtbridge,58.2007895,15.9976985
59,Muxo,-18.9797547,32.3759269
60,Voonix,-22.1507823,166.8808338
61,Aimbo,-7.646098,111.0266668
62,Agimba,8.7814708,167.7373396
63,Tagtune,53.944,27.7823
64,Flipstorm,-6.183459,106.7647475
65,Bubblemix,24.1919524,89.9681979
66,Wordify,10.1592286,-69.0087365
67,Feedfire,-9.483333,-72.716667
68,Blogtag,44.24984,21.2008216
69,InnoZ,32.5609226,36.0086971
70,Riffpedia,23.1135925,-82.3665956
71,Flashpoint,-7.7794,114.2878
72,Tazzy,38.2643887,140.2604198
73,Centizu,45.5417415,-73.471152
74,Riffpath,43.6777677,7.1492431
75,BlogXS,-9.4511841,120.0496593
76,Lazz,53.2492381,-6.6633404
77,Zoonder,-21.35188,-46.4970116
78,Mymm,31.2266233,121.4618377
79,Wikivu,-2.9135019,-79.8156667
80,Zoomlounge,28.01082,120.663064
81,Kwimbee,5.2843859,-75.259705
82,Divape,48.7212066,2.1222327
83,Skalith,53.98492,38.03593
84,Fatz,14.55647,121.018975
85,Wikido,32.026097,112.232692
86,Babblestorm,42.0469772,19.8960968
87,Jaxspan,-15.3075834,-68.2206477
88,Topicblab,38.7894166,-9.2036136
89,Quimm,40.5053499,-80.04928
90,Topdrive,31.2035483,30.5502219
91,Eimbee,42.88,-78.83
92,Kanoodle,33.8305244,-4.8353154
93,Twinder,26.641315,100.222545
94,Jazzy,41.5838798,-8.5932108
95,Thoughtbridge,55.430827,37.542155
96,Devshare,-8.3162866,113.4686802
97,Gevee,3.6196125,98.5089455
98,Devbug,56.7034937,41.3503153
99,Oba,58.1295491,55.5405808
100,Twitterwire,53.3656498,34.1098425
101,Eazzy,31.8948117,117.3279441
102,Fivespan,27.868393,113.433712
103,Meemm,36.806669,118.017938
104,Fivespan,21.355574,106.8355372
105,Chatterbridge,33.3992452,36.4553727
106,Brightdog,43.4988397,4.9789041
107,Tekfly,48.5625988,3.3093771
